"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"43219","G","Kristers","Gudlevskis","8.2","1","6500","TB@DET","TB","DET","","","",""
"43214","RW","Nikita","Kucherov","1.8","3","6500","TB@DET","TB","DET","","","",""
"14563","C","Ryan","Nugent-Hopkins","0.7","2","6500","EDM@DAL","EDM","DAL","","","",""
"8319","RW","James","Neal","2.2","2","6400","NSH@NJ","NSH","NJ","","","",""
"8555","C","Jeff","Carter","1.6","2","6400","VAN@LA","LA","VAN","","","",""
"8643","C","David","Backes","1.7","2","6400","STL@CGY","STL","CGY","","","",""
"39253","LW","Filip","Forsberg","3","2","6300","NSH@NJ","NSH","NJ","","","",""
"8294","C","Derick","Brassard","1.6","3","6300","WPG@NYR","NYR","WPG","","","",""
"8394","C","Anze","Kopitar","0.2","2","6300","VAN@LA","LA","VAN","","","",""
"8426","D","Brent","Burns","5.6","2","6300","SJ@WAS","SJ","WAS","","","",""
"8714","C","Nicklas","Backstrom","3.3","82","6200","SJ@WAS","WAS","SJ","IR","Hip","",""
"8230","D","Mark","Giordano","-0.5","2","6200","STL@CGY","CGY","STL","","","",""
"8534","C","Jason","Spezza","1.6","2","6200","EDM@DAL","DAL","EDM","","","",""
"21122","LW","Jaden","Schwartz","4.5","2","6200","STL@CGY","STL","CGY","","","",""
"8598","LW","Chris","Kunitz","1.3","2","6200","MON@PIT","PIT","MON","","","",""
"64102","C","Connor","McDavid","0.3","2","6100","EDM@DAL","EDM","DAL","","","",""
"12262","D","Roman","Josi","1.4","2","6100","NSH@NJ","NSH","NJ","","","",""
"8608","D","Kris","Letang","1.8","2","6100","MON@PIT","PIT","MON","","","",""
"15315","LW","Ondrej","Palat","2.4","3","6000","TB@DET","TB","DET","","","",""
"8436","C","Tomas","Plekanec","6.1","3","6000","MON@PIT","MON","PIT","","","",""
"8467","D","Shea","Weber","0.4","2","6000","NSH@NJ","NSH","NJ","","","",""
"8635","RW","T.J.","Oshie","0.6","1","6000","SJ@WAS","WAS","SJ","","","",""
"9025","RW","Jordan","Eberle","2.8","81","5900","EDM@DAL","EDM","DAL","IR","Shoulder","",""
"52475","C","Evgeny","Kuznetsov","0.9","1","5900","SJ@WAS","WAS","SJ","","","",""
"8162","C","Bryan","Little","0.5","3","5900","WPG@NYR","WPG","NYR","","","",""
"21927","LW","Chris","Kreider","2.8","3","5800","WPG@NYR","NYR","WPG","","","",""
"39249","C","Nick","Bjugstad","3","2","5800","FLA@CAR","FLA","CAR","","","",""
"21523","LW","Alex","Killorn","2.5","3","5800","TB@DET","TB","DET","","","",""
"11365","D","Kevin","Shattenkirk","3","2","5800","STL@CGY","STL","CGY","","","",""
"12494","RW","Jiri","Hudler","5.7","2","5800","STL@CGY","CGY","STL","","","",""
"9079","D","Keith","Yandle","3.5","3","5700","WPG@NYR","NYR","WPG","","","",""
"12624","RW","Tyler","Toffoli","2.7","2","5700","VAN@LA","LA","VAN","","","",""
"9305","LW","Mathieu","Perreault","3.7","3","5700","WPG@NYR","WPG","NYR","","","",""
"9321","LW","Tomas","Tatar","1.9","2","5700","TB@DET","DET","TB","","","",""
"12682","LW","Brandon","Pirri","3.5","2","5700","FLA@CAR","FLA","CAR","","","",""
"12411","D","Ryan","McDonagh","2","3","5700","WPG@NYR","NYR","WPG","","","",""
"8669","D","Victor","Hedman","5","3","5700","TB@DET","TB","DET","","","",""
"12253","RW","Mats","Zuccarello Aasen","3.1","3","5600","WPG@NYR","NYR","WPG","","","",""
"8187","D","Dennis","Wideman","2.8","2","5600","STL@CGY","CGY","STL","","","",""
"8438","LW","Michael","Cammalleri","4.6","2","5600","NSH@NJ","NJ","NSH","","","",""
"15306","RW","Brendan","Gallagher","3.4","3","5500","MON@PIT","MON","PIT","","","",""
"8406","D","Drew","Doughty","0.8","2","5500","VAN@LA","LA","VAN","","","",""
"8651","D","Alex","Pietrangelo","2","2","5500","STL@CGY","STL","CGY","","","",""
"8614","C","Joe","Thornton","5.9","2","5500","SJ@WAS","SJ","WAS","","","",""
"15239","RW","Craig","Smith","3.9","2","5400","NSH@NJ","NSH","NJ","","","",""
"14178","D","Justin","Faulk","2.9","2","5400","FLA@CAR","CAR","FLA","","","",""
"13982","LW","Gustav","Nyquist","1.7","2","5400","TB@DET","DET","TB","","","",""
"8178","LW","Milan","Lucic","0.5","2","5400","VAN@LA","LA","VAN","","","",""
"8315","C","Brad","Richards","-0.1","2","5400","TB@DET","DET","TB","","","",""
"8338","RW","Johan","Franzen","2.1","2","5300","TB@DET","DET","TB","","","",""
"8520","RW","Ryan","Callahan","3.1","3","5300","TB@DET","TB","DET","","","",""
